サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,黒髪OPIキャンペーン購入
Incomplete,001-0015,北海道,札幌市,北区北15条西4丁目1−28,0573-67-7619,http://masaru30.wixsite.com/incomplete,
hair salon Graphy 札幌Ｎ１８店,001-0017,北海道,札幌市北区,北１７条西４丁目２−２,011-708-0718,https://toshix.jp/graphy/sapporo/,
omoya,001-0023,北海道,札幌市,北区北23条西3-2-20,011-792-0208,https://beauty.hotpepper.jp/slnH000289802/,
GLOW produce by face,001-0040,北海道,札幌市北区,北４０条西４丁目２－２０ ,011-374-1385,http://face-hair-sapporo.com/ ,
hair salon face 札幌麻生店,001-0045,北海道,札幌市北区,麻生町５丁目１−３ 麻生ビル1F,011-758-3646,http://face-hair-sapporo.com/ ,
チャップリン,002-0854,北海道,札幌市,北区屯田4条7-10-1,011-242-2338,https://beauty.hotpepper.jp/slnH000123259/,
ViBRANT,003-0002,北海道,札幌市白石区,東札幌2条2丁目4−10αNEXT東札幌2F,011-598-0963,http://www.vibrant-hair.com/,
neu美容室 サンピアザ店,004-0052,北海道,札幌市,厚別区厚別中央2条5丁目サンピアザ3F,0573-67-7617,https://beauty.hotpepper.jp/slnH000239292,無
torank's 札幌,004-0052,北海道,札幌市,厚別区厚別中央二条2−3−6,011-398-7867,www.pesca-hair.jp/salon,
Arrange & Blow bar topico,005-0004,北海道,札幌市,北海道札幌市南区澄川4条2丁目2-3 アールユービル2F,011-813-3292,http://to-pico.com/staff_list.html,
Friend's Double,006-0029,北海道,札幌市手稲区,手稲本町1条4丁目1−4テイネ1･4ビル1F,011-699-1771,http://www.friends-salon.jp/,
elteeb(エルティーブ),010-0001,秋田県,秋田市,中通7-2-1 アルス2F,018-884-3003,http://www.beetle-hair.com,
Beetle-iD(ビートル アイディ),010-0003,秋田県,秋田市,東通2-13-1,018-837-0882,http://www.beetle-hair.com,無
beetle(ビートル),010-0003,秋田県,秋田市,東通2-13-1,018-837-3909,http://www.beetle-hair.com,無
fam★(ファム),010-0003,秋田県,秋田市,東通8-1-17,018-853-4150,http://www.fam-star.jp/,
nouty(ノウティ),010-0854,秋田県,秋田市,手形山崎町8-17 神保ビル1F,018-836-6866,http://www.nouty.net/,
polku,010-0931,秋田県,秋田市,川元山下町2－１　広瀬ビル１F,018-807-2198,,
