サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,CCVeil取り扱い有無
RON RON CHAT 都ホテル店,543-0001,大阪府,大阪市,天王寺区上本町6-1-55 シェラトン都ホテル大阪B1,06-6776-6080,https://home.rasysa.com/ronron-chat-miyako/,無
CLIPTON A.T.(クリプトン エイティー),448-0841,愛知県,刈谷市,南桜町1-39 全栄ビル1F,0120-21-2332,http://c-at.jp/,有
THE POD(ザ ポッド),470-2102,愛知県,知多郡,東浦町緒川字旭14番地4,0120-82-2660,http://c-at.jp/,有
FLAMINGO hair design,460-0008,愛知県,名古屋市,中区栄3丁目32−22 青木ビル2F,052-262-0688,http://flamingo-group.co.jp/,無
flamingo hair&make(フラミンゴ ヘアアンドメイク),460-0008,愛知県,名古屋市,中区栄3-31-19Fビル栄3 3F,052-262-0688,http://flamingo-group.co.jp/,無
La fith robin,450-0002,愛知県,名古屋市,中村区名駅4-13-5 5F,052-433-7411,,無
Rohange hair,450-0002,愛知県,名古屋市,中村区名駅4-26-23 名駅エフワンビル8F,052-589-6090,http://rohange-hair.com/,無
Rohange hair Lua,456-0002,愛知県,名古屋市,熱田区金山町1-15-20 ヒカルビル4F,052-682-7133,http://rohange-hair.com/,無
ストラッセ ナゴヤドーム前店(店販),461-0048,愛知県,名古屋市東区矢田南4-102-3 イオン大曽根SC,,052-725-6527,https://the-kid.co.jp,有
coo hair e'clat,465-0008,愛知県,名古屋市,名東区猪子石原1-1306,052-775-8188,http://www.coohair.jp/,無
coo hair,465-0095,愛知県,名古屋市,名東区高社1-93 アプリーテ1F,052-778-2228,http://www.coohair.jp/,無
coo hair doue,463-0011,愛知県,名古屋市,守山区小幡5-1-34,052-794-5900,http://www.coohair.jp/,無
Rohange hair Blanc,450-0002,愛知県,名古屋市,中村区名駅2-41-20 CK18名駅前ビル4F,052-887-7262,http://rohange-hair.com/,無
ストラッセ 八事店,466-0834,愛知県,名古屋市昭和区広路町 字治石坂2-1 イオン八事1F,,052-918-2264,https://the-kid.co.jp,無
ルミエール 大府店,474-0073,愛知県,大府市東新町1-235 マックスバリュー1F,,0562-46-5305,https://the-kid.co.jp,有
CLIPTON A.T.,448-0841,愛知県,刈谷市南桜町1-39 全栄ビル1F,,0566-23-2002,http://c-at.jp/,有
ジジ 安城店,446-0065,愛知県,安城市大東町9-31 ザ・モール安城2F,,0566-76-7001,https://the-kid.co.jp,有
